"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979344507.8","2023034713.1","2143951791.1","2480214113.7","2435844906","2485331046.1","2580623924.1","2587774666.5","2529865267.8","2596917266.2","2596050086.4","2751986638.9","2678760424.2","2661685956.5","3040072312.4","3555784339.6","3393247241.7","3428116975.5","",
"","AFW","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7288778066.3","8591895991.1","9000344458.8","10059207810.7","10571384637.8","11292755787.9","11502043062.1","10545818707.6","9948274153","10784076259.7","10673241870.4","9763465564.4","8776917205","9119036718.7","9114598189.4","9801188917.7","12238371900.2","9905180985.8","11941803690.9","15596027678.7","20277281252.9","26795572704.5","34679553283.4","36165323895.3","43350110779.1","45924334305.5","48771532654.3","57434097528.2","58745881698.6","61791490176.7","62292159789.9","65405244103.7","66019700768.5","60445747533.3","57031749205.5","",
"Albania","ALB","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","511485756.3","632621789.2","786033591.2","883115193.8","458862737.5","491994448.6","516476961.3","623592791.8","773092900.6","1122051223.3","1154309753.2","1180426821.7","1550382967.9","1603744698.8","2126166749.1","2517100832.6","2966604307.7","4256899002.8","4605163641.8","5436572731.8","6484194296.1","7384475899.5","8647046116.3","8512452310","8446920542.7","8516067178","9801181001.7","9650813200.5","9274269395.1","10477224919.8","11054752381.6","10420193315.8","11363954732.5","",
"Andorra","AND","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","5893191433.6","6353903964.5","6893803268.3","7374621350.5","7798525658.1","7901576052.9","9501611014.5","11675739426.3","13507657037.8","21176835027.4","27322463712.9","35809463187.8","43787004262.2","46108319454.6","49060805832.6","51156733946","52688148843.8","58722673496.6","59015245403.5","65538413075.1","62477601311.9","65672366930.1","68605638952.4","64681387080.3","75094061335.7","98773122012.7","111145506414","128251441841.7","141504501057.7","151913800711.3","150062928187.3","152649929432.5","148320192549.3","163442688409.3","167999635827.3","130788488210.2","118921233033.8","120818039247.5","129752184881.3","133695121247.7","126642436908.2","142884643038.3","139877658066.6","150225027402.1","156380868987.6","187972586465.6","191717702190.7","236683642186.1","296726558406.2","299354360388","275474929878.8","266759890414","266900361822","266167259703.1","",
"Armenia","ARM","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133922025.2","214328549.4","370656928","520544050.4","638485619.5","804242112.9","1022596079.8","1018418173.9","1410424531.1","1719549290.3","1996130970.2","2107914571.2","1969824792.5","2138883502.7","3081934925.4","3612490093","4934959249.6","6307170668.6","7410792665.3","7640566516.3","8681090391.3","8555656187","8831021220.8","9855623087.1","10228295738.5","10725730268.9","11884488146.3","13061785395.5","14039607363.2","15931152887.6","15838832193.4","",
"Samoa Americana","ASM","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35540000","112814844.4","320987667.6","438309868.3","508060653.1","706603152.3","1289063609","1585215993.3","1519801453.6","1701647122.3","1959261793.7","2192577447.2","2270055653.1","2820389403.5","3924409213.9","4522619511.2","4579733732.4","7285505104.2","7722133655.1","10856678607.3","10596759022.3","12117384320.8","13337861419.9","14608834693.7","15439551135.3","16583157327.6","16539074382","16478249028.4","15647994867","15277053817.9","14532679535.5","",
"Burundi","BDI","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","14970400.9","13628499","6895385.6","7780758.4","9437482","19378709.7","22365684.2","47221848.4","74679956.5","136189377","165719681.3","178613654.8","227431810.4","307726678.6","348008143.1","455096618.9","570430014.5","769586468.4","800694146.9","888845816.1","906936375.2","963475598.4","1026584699.6","1065645817.3","1127404969","1161951393.2","1130746660.3","1068957656.4","1121825243.5","1153732063.6","1125869260.9","1093536451","1232214637.4","1348337839.1","1357933155.3","1287893069.1","1371901889.5","1409730477.1","1390288828.7","607188101.8","620881162","605057004.8","663926347.2","680219691.9","691128126.4","626941607.8","603715776.7","608422362.7","593765019","628698017.3","665065566.7","975977735.5","955015431.9","1042821518.3","",
"Bélgica","BEL","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","43206645.9","51050106","47315754","90483938.2","108808916.9","119207923.7","141222202.2","212376218.6","283904950.1","453818384.5","474871020.5","543224056.1","758283071.1","798438969.5","762600512.6","902878842.8","1038615913.2","1244496821.6","1170205810","1070152454.6","1110830135.6","1149708001.3","1198996389.7","1270610521.6","1382104403.8","1396447482.6","1377472571.8","1374358792.3","1467129720.3","1562316602.2","1504156540.8","1628922367.1","1851279355.1","1706632655.7","1994818354.6","1876387170.5","1254967318.4","1498259890.4","1702121197.5","2015238572.4","2284118354.5","2135217779.1","2620059365.2","3107685045.4","3847583868.7","3555460281.2","4222872533.2","4821092709.4","6901298963.8","6948620010.2","8419708040.3","10080172314.8","10736679249.4","12482753038.6","",
"Burkina Faso","BFA","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","20789505.9","23598002.3","20015915.3","31067227.5","47354443.4","62537911.1","85306252","164285524.9","262707189","295034801.5","330416655.7","328158612.3","351832578.4","397717113.7","409962570.8","511100955.5","639696853.1","827502134.8","845249596.1","717259802.1","833673417.3","967441445.2","1039802411.9","1118907234.9","1135033979.4","1274258080.3","1301463551.1","1307801527.1","1470373375.7","1608245528.6","1446330172.4","1516006603.1","1564526409.9","1757847852.1","1944506311.9","2011339006.1","1143923817.7","1969571660.4","2674882379","3723010559.1","4807758194.5","5977740713.9","7439424331.8","8946024649.5","10302548966.3","12601802193.7","10251883007.9","12771161142.4","10623968206.9","9159426696.4","9761067268.3","10295656043.8","9851008083.5","10397389534.4","",
"Bangladesh","BGD","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","146504255","497826100.3","1257484131.2","1680485423.5","1993989051.5","2331728887.3","2820088627","2967069235.7","3802228595.2","4209310810.8","4940329805.1","5346293426.4","5541814231.1","6530064193.2","7913829647.5","9737967442","10275887393.3","10701050528.9","12291780361.5","12997665568.6","13427954471.8","14125214056.8","15490545904.5","15734744113.2","15169074222.9","14257776105.5","15507392996.3","16449663349.3","15600564697.1","14978802400.8","16687587182.1","18440377575.4","19714073691.8","18503086016.3","20160932717.1","21523544177.4","23346917708.3","25377795050.4","26571755072","27046084648.2","29155976742.1","32454687016.8","35271839354.7","38704937144.2","41569252897.7","51068283464.6","57125459320.6","62468325028.8","73550857817.1","91477590071.6","97020160351","101447458740.3","",
"Bulgaria","BGR","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrein","BHR","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2408825764.2","2791207814.6","2669145304.3","3191487155.7","4533614360.9","5584724123.6","7073464506.8","8690258362.2","11648664235.4","13182478252.4","14080358517","14356729617","12407888515.4","13058791609.5","13839008792.5","13130629004.8","11655585848.2","11664670468.5","13062518681.4","12981480931.4","12789468857.3","14074547067.3","13825594017","13385570595.5","14010190698.1","",
