periodo,year,quarter,inpc_q_eoq,inpc_q_avg,inflacion_yoy_eoq,inflacion_yoy_avg,PIB_USD_2018,ingresos_mmxn_USD_2018,gasto_mmxn_USD_2018,balance_mmxn_USD_2018,rfsp_total_miles_mxn_USD_2018,rfsp_sin_ingresos_rec_miles_USD_2018,balance_tradicional_miles_USD_2018,ingresos_totales_miles_USD_2018,gasto_totales_miles_USD_2018,incurrimiento_neto_pasivos_miles_USD_2018,adq_neta_activos_fin_miles_USD_2018,deuda_total_economia_musd_2018,deuda_bruta_publica_musd_2018,activos_fx_publico_musd_2018,posicion_neta_publico_musd_2018,deuda_publica_lp_musd_2018,deuda_publica_cp_musd_2018,deuda_gob_federal_musd_2018,deuda_organismos_empresas_musd_2018,deuda_banca_desarrollo_musd_2018,endeudamiento_neto_total_musd_2018,endeudamiento_neto_lp_musd_2018,endeudamiento_neto_cp_musd_2018,endeudamiento_neto_gf_musd_2018,endeudamiento_neto_oye_musd_2018,endeudamiento_neto_bd_musd_2018,fuente_bancario_musd_2018,fuente_comercio_ext_musd_2018,fuente_capitales_musd_2018,fuente_ofis_musd_2018,fuente_pidiregas_musd_2018,acreedor_eeuu_musd_2018,acreedor_ofis_musd_2018,acreedor_japon_musd_2018,acreedor_otros_musd_2018,moneda_usd_musd_2018,moneda_canasta_musd_2018,CuentaCorriente_2018,Exportaciones_2018,IngresosTurismo_2018,Remesas_2018,Importaciones_2018,BalanzaBienes_2018,BalanzaServicios_2018,BalanzaIngresoPrimario_2018,BalanzaIngresoSecundario_2018,TasaMXN,TasaUSD,tcn_mean,tcn_eop
2002-01-01,2002,1,51.1279,50.9654,4.66,4.75,887540.289374572,48.58237654811014,49.35989401588487,-0.9894550981780229,-5905.471782875991,-7471.502230184823,,,,,,189132.35502770494,115348.30400879818,14218.050890958442,101130.25311783975,108657.17450205913,6692.53964994384,84443.60553257205,19561.506536877572,11344.602082553349,1675.1091129726692,177.67804380381878,1497.4310691688506,942.2576894421564,1047.877415481093,-315.02599195058025,20530.27491856982,28483.4825935979,185113.7289226881,71102.24067203293,8600.463406027704,47828.39113421939,23635.128226881312,11651.731272557092,8481.165290902281,101001.36602892172,5473.047806439535,-5114.721627269095,51720.08601894327,3403.501897081617,3066.2647395123545,53756.798153920805,-2019.2465609496646,-733.8482805547013,-5617.739089426684,3256.1123036619547,,1.7333,9.1135,9.0771
2002-04-01,2002,2,51.7626,51.5604,4.94,4.77,936267.0836099456,52.73784695630349,48.24023806489588,4.483615172501496,1956.0527206271165,-722.641452091408,,,,,,181467.70581575035,109063.1836459881,11785.6796336367,97277.5040123514,103059.46175984398,6003.721886144131,79934.42905553491,18002.770801448736,11124.584646173847,-6510.91116223997,-5869.963831537889,-640.9473307020802,-4705.0375107726595,-1616.7095407689449,-189.1641106983655,16575.64511422734,28331.24317700594,173350.9984268202,70756.05208673848,9549.149818907874,46321.98135011144,23531.623610884097,10465.588372956909,7775.176623978455,95006.27545542347,5596.991065286033,-2843.2303571472266,58037.14978165676,3001.078822229754,3607.102148736998,60131.81350907596,-2088.3381299265934,-2013.7752816314764,-2529.278619809075,3788.161674219918,,1.75,9.4677,9.7502
2002-07-01,2002,3,52.422,52.1472,4.95,5.25,926456.1114366225,48.7682077456753,50.758028391418634,-1.4974017199612253,-5985.907778824937,-5985.907778824937,,,,,,180673.07167892114,109788.42040181048,10558.425493256977,99229.9949085535,103917.06187326807,5871.358528542399,80099.02413541476,17577.892764640685,12111.503501755036,1154.5103188619992,1256.2397117125442,-101.729392850545,689.5610691852947,-328.4286828006651,793.3779324773694,17129.782443192318,28340.890361167563,171364.62348605212,70120.91542490303,8622.64457047848,47858.738989469806,23406.249402087567,9344.213519767229,7985.270262331426,96696.77994540922,5588.158371974876,-3773.5557985840687,57568.55069071958,2807.6616603269913,3552.6118093725295,59736.56130847128,-2186.833527986969,-1645.8651859282334,-3669.855565048856,3728.99848037999,,1.74,9.8925,10.0554
2002-10-01,2002,4,53.3099,53.0139,5.7,5.34,926791.6375763417,50.300878772856336,61.72643329941004,-12.095865906336847,-14950.51431174908,-17052.81324965383,,,,,,178070.77285592287,109042.34435785124,10085.484049586776,98956.86030826447,105183.15948044077,3859.184877410468,80073.90121460054,17069.64716721763,11898.795976033058,-838.3818016528925,1135.135756198347,-1973.5175578512396,-112.06093388429751,-518.5239261707989,-207.79694159779612,18526.854348209366,26414.007238016526,174518.02621129475,70408.71484049587,6310.137352341598,47965.40002644628,24270.046383195593,9342.284868319559,7440.984356749311,96571.76092534435,5527.647670798898,-5571.577291750816,57443.098773884296,3157.002764881542,3471.2907969090907,61778.33510005509,-4342.751878086504,-1960.313561892358,-2922.0961293169617,3653.584277545008,,1.4433,10.1688,10.2103
2003-01-01,2003,1,54.0129,53.7375,5.64,5.44,915106.7909874772,51.18292771494073,47.18481451727955,3.4490255324759116,-73.54165611933091,-2268.0178797590897,,,,,,180715.91302844937,112049.21489411015,9897.364549354663,102151.85034475548,106440.7630915288,5608.451802581349,82734.38671914197,17960.575288674783,11354.2528862934,2947.600474913652,1165.6202203235775,1781.9802545900743,2737.947683875659,587.7398949281949,-378.0871038902018,18360.846424013816,24778.7414975459,181473.59355935283,72064.41534611888,12336.375562534085,50205.612753408466,24276.998959098346,8984.943552172332,7129.1534645519,99935.22739992727,5228.3106217051445,-2328.371679755118,53476.51672961097,3489.003131806944,4341.122915455361,53665.375414627335,-187.8246161025286,-971.1700433336165,-5694.399748924782,4525.02272860581,,1.25,10.8181,10.9246
2003-04-01,2003,2,53.9751,54.0036,4.27,4.74,939689.8830627402,52.78996760391557,48.71035973039924,4.677357750639802,1564.5075292810554,-524.159041191416,,,,,,176782.50637718497,109845.78975546247,8644.964413601601,101200.82534186087,104261.75202175892,5584.037733703568,81488.737335579,17509.38942443554,10847.662995447923,-2815.6794624908957,-914.4648760924981,-1901.2145863983972,-1589.5805383284776,-685.2657148579751,-540.8332093044428,18055.57198579752,23649.485446376544,197172.4533031682,71948.64801101602,11640.601565823014,50726.122444282584,24069.75249007647,7770.1396078841935,6329.929438546976,97881.7581344683,5262.116470138382,-694.2610645746029,55200.586601181705,3113.811197316096,5355.726466153327,57459.07755335942,-2261.5361846816513,-1722.3612114201237,-2247.8763247890647,5537.512656316236,,1.2467,10.4552,10.5
2003-07-01,2003,3,54.5382,54.269,4.04,4.07,928074.5458206718,49.21053931249899,51.41452773512667,-2.233777966014973,-5057.088235972691,-5452.361888820843,,,,,,172633.6064886138,106316.78992409183,7219.0312062172425,99097.7587178746,101617.42171073561,4699.368213356227,78024.59737222124,17014.90692888126,11277.28562298934,-3490.5235754563537,-2644.9177588107723,-845.6058166455813,-3058.394632929695,-934.5094711729623,502.38052864630407,15067.195318362554,23368.86337113682,197172.24045653356,70666.01601915779,11570.136711639256,49759.63411729623,23378.121332098322,7648.981804988253,5711.20888785469,95047.80923667089,4959.135706217243,-113.21534864283754,56559.389970609984,2933.0391185812405,5620.285758904691,58505.02398577174,-1958.5711973650853,-1971.7625310187793,-1970.7945349582228,5787.91291469925,,1.0167,10.7104,10.9285
2003-10-01,2003,4,55.4298,55.1202,3.98,3.97,937777.0404389077,49.28186157305128,60.5952186781109,-10.64556841702372,-13194.461833064881,-14455.193798139551,,,,,,175185.0321327872,107180.92188467772,7321.263905563558,99859.65797911417,104891.72993599209,2289.1919486856323,79152.35839494059,16489.69602709759,11538.86746263954,6.103426809506662,2396.7478922398273,-2390.6444654303205,420.8651864422039,-550.5290982175009,135.76733858480375,14398.797633867483,21666.08012009363,199253.6923085164,71493.10027583723,10522.71471471012,51221.17847074181,23993.791473532594,6755.408424468851,5321.103124234786,95646.80153177891,5046.17765439323,-2364.0598655746644,59579.41052228935,3240.7704409704716,5338.186826103741,63059.507178997126,-3482.050999742207,-2123.4463530315747,-2262.8676070870356,5504.305094286153,,0.9967,11.1854,11.2563
2004-01-01,2004,1,56.2981,56.0601,4.23,4.32,945008.7219787743,54.30177894782828,48.29908115910119,5.782593936195901,4344.6950370576615,2443.7236926353653,,,,,,174117.26196732724,108780.41890332082,7242.6133768077125,101537.8055265131,103829.03802892339,4951.380874397429,79736.80089260844,17976.276416979108,11067.34159373326,2170.457274236743,-507.8477300482056,2678.305004284949,1117.9105752544187,1405.1888462774502,-352.6421472951258,14906.595116497052,22011.218087841455,201175.75484681307,71276.48270969468,18328.515083556504,52306.16429780395,23119.310632297802,5956.854822978039,5007.33020058918,97092.38947214783,4474.466666041778,-1572.1861799048738,58091.8276319925,3936.1517600044394,5021.803347130107,58796.41793974825,-694.90717401098,-1296.7038398164218,-4795.862647885538,5215.287481808065,,1.0033,10.9806,11.0044
2004-04-01,2004,2,56.3317,56.3188,4.37,4.29,975421.7540978708,51.04394865018837,49.602294018433355,1.118707161289317,6765.544426721684,-2533.28130947808,,,,,,170790.45144712136,107877.41611992914,5300.7126690876885,102576.70345084147,102714.55240575732,5162.863714171834,79420.21414915855,17367.100085739592,11090.101885031003,-1550.367045704163,-1804.713713728964,254.34666802480072,-477.3336996457042,-1222.0917029229406,149.05835686448185,11837.929129317981,21242.48391895483,200464.80764614706,69008.68141780337,17974.809805668734,52473.74598148805,22797.65499406555,5618.84617201063,4582.643718069088,97824.58425093003,4504.311349689991,1446.6459383781657,63236.83091255182,3487.903996333199,6630.411529449578,64730.774632876,-1505.277952308032,-2082.343409190016,-1764.548843886234,6798.8161437624485,,1.01,11.3866,11.3843
