periodo,FSI,p_solvencia,p_externa,p_mercado,p_liquidez,p_fiscal
2002-01-01,41.6,29.35,31.52,37.68,52.45,73.91
2002-04-01,56.84,55.07,58.33,35.87,52.99,90.22
2002-07-01,45.99,36.59,48.55,33.15,52.72,71.74
2002-10-01,41.95,55.07,38.04,34.06,57.07,16.3
2003-01-01,45.85,28.99,53.62,28.22,49.46,89.13
2003-04-01,57.06,54.71,67.39,35.97,41.85,91.3
2003-07-01,57.86,59.42,74.64,43.63,40.76,68.48
2003-10-01,51.35,67.03,52.9,45.23,52.45,25.0
2004-01-01,53.7,38.41,63.41,47.43,38.86,94.57
2004-04-01,58.01,54.71,80.07,40.9,34.51,81.52
2004-07-01,55.29,57.61,65.58,35.78,34.51,83.7
2004-10-01,47.33,70.65,46.01,36.17,40.76,23.91
2005-01-01,44.01,42.39,30.8,39.23,28.26,86.96
2005-04-01,61.56,71.01,69.57,44.26,33.97,82.61
2005-07-01,67.19,74.64,69.93,52.98,38.04,96.74
2005-10-01,58.21,92.75,46.01,57.82,48.91,15.22
2006-01-01,58.24,58.33,57.25,52.92,31.25,93.48
2006-04-01,60.48,62.32,66.3,47.67,38.59,88.04
2006-07-01,67.77,81.88,68.12,43.14,44.02,95.65
2006-10-01,53.39,95.29,52.9,38.3,35.05,8.7
2007-01-01,44.4,43.12,23.55,35.75,31.79,98.91
2007-04-01,52.1,57.25,47.46,44.6,31.79,78.26
2007-07-01,61.92,73.19,63.41,43.05,39.67,84.78
2007-10-01,56.03,92.03,47.46,47.54,51.9,10.87
2008-01-01,47.22,39.86,34.06,43.63,33.7,97.83
2008-04-01,52.79,61.96,52.54,37.76,34.78,72.83
2008-07-01,54.94,64.13,48.91,37.07,30.98,92.39
2008-10-01,42.95,70.65,36.96,20.87,46.2,21.74
2009-01-01,49.48,53.26,50.0,22.96,63.04,63.04
2009-04-01,62.75,80.8,69.93,34.81,69.29,47.83
2009-07-01,53.92,62.68,37.68,39.28,64.13,67.39
2009-10-01,57.8,55.07,73.91,67.07,68.75,18.48
2010-01-01,69.89,64.49,76.45,68.84,63.86,79.35
2010-04-01,66.8,71.38,81.88,70.48,69.02,30.43
2010-07-01,64.44,61.23,74.28,69.65,72.83,42.39
2010-10-01,46.78,45.65,41.3,65.4,73.91,4.35
