periodo,FSI,p_solvencia,p_externa,p_mercado,p_liquidez,p_fiscal
2002-01-01,43.65,30.07,39.86,37.68,52.45,75.0
2002-04-01,58.29,57.97,61.23,35.87,52.99,90.22
2002-07-01,46.97,37.68,51.81,33.15,52.72,71.74
2002-10-01,41.86,53.99,38.41,34.06,57.07,17.39
2003-01-01,44.84,25.36,53.99,28.22,49.46,89.13
2003-04-01,56.13,51.09,67.39,35.97,41.85,92.39
2003-07-01,55.33,53.26,72.83,43.63,40.76,66.3
2003-10-01,48.38,59.42,51.09,45.23,52.45,22.83
2004-01-01,52.31,32.97,63.77,47.43,38.86,95.65
2004-04-01,56.73,50.0,81.52,40.9,34.51,80.43
2004-07-01,54.13,52.9,65.22,35.78,34.51,85.87
2004-10-01,46.79,68.84,46.01,36.17,40.76,23.91
2005-01-01,43.61,39.86,32.61,39.23,28.26,86.96
2005-04-01,62.06,71.01,72.1,44.26,33.97,82.61
2005-07-01,67.23,74.28,70.65,52.98,38.04,96.74
2005-10-01,59.35,92.03,50.36,57.82,48.91,18.48
2006-01-01,58.21,57.97,57.61,52.92,31.25,93.48
2006-04-01,61.32,62.68,69.93,47.67,38.59,88.04
2006-07-01,67.9,81.88,69.57,43.14,44.02,94.57
2006-10-01,54.95,95.29,55.8,38.3,35.05,15.22
2007-01-01,45.16,43.48,26.81,35.75,31.79,98.91
2007-04-01,52.96,57.25,51.81,44.6,31.79,78.26
2007-07-01,62.62,73.91,66.67,43.05,39.67,83.7
2007-10-01,58.44,90.58,54.35,47.54,51.9,20.65
2008-01-01,48.49,41.67,37.68,43.63,33.7,97.83
2008-04-01,54.13,60.87,60.87,37.76,34.78,72.83
2008-07-01,54.96,63.77,50.36,37.07,30.98,91.3
2008-10-01,40.98,68.84,35.51,20.87,46.2,14.13
2009-01-01,45.99,44.57,46.38,22.96,63.04,61.96
2009-04-01,62.68,78.99,70.65,34.81,69.29,50.0
2009-07-01,53.16,59.42,38.77,39.28,64.13,67.39
2009-10-01,57.4,54.35,74.64,67.07,68.75,16.3
2010-01-01,70.86,66.3,78.62,68.84,63.86,79.35
2010-04-01,67.71,72.83,82.61,70.48,69.02,32.61
2010-07-01,65.47,62.32,75.36,69.65,72.83,45.65
2010-10-01,50.02,48.91,48.55,65.4,73.91,9.78
2011-01-01,70.98,69.57,59.78,76.04,75.82,77.17
2011-04-01,67.42,70.29,68.48,82.47,76.09,31.52
2011-07-01,60.18,51.45,51.81,80.0,64.95,57.61
2011-10-01,55.02,50.72,66.3,67.5,67.39,19.57
2012-01-01,55.37,47.83,48.91,62.25,62.23,63.04
2012-04-01,57.23,54.71,67.39,56.4,63.59,43.48
2012-07-01,62.53,64.13,64.86,52.35,62.77,69.57
2012-10-01,45.55,53.26,32.61,67.55,54.89,8.7
2013-01-01,59.84,57.61,34.42,73.43,55.16,84.78
2013-04-01,57.4,71.01,34.06,74.06,57.34,39.13
2013-07-01,55.55,47.83,52.17,81.27,56.52,40.22
2013-10-01,47.08,42.39,40.22,77.79,50.0,21.74
2014-01-01,46.19,31.88,29.35,68.18,50.0,64.13
2014-04-01,47.38,40.58,40.58,72.69,58.7,25.0
2014-07-01,55.34,48.91,67.39,71.74,58.42,27.17
2014-10-01,47.9,39.86,48.91,65.58,50.0,36.96
2015-01-01,41.77,27.9,22.83,71.39,50.27,46.74
2015-04-01,38.39,33.33,28.62,69.29,51.09,7.61
2015-07-01,48.18,42.03,31.88,67.7,53.26,51.09
2015-10-01,48.21,57.97,24.28,66.23,58.7,26.09
2016-01-01,41.04,28.26,10.14,63.39,58.15,60.87
2016-04-01,47.91,39.13,20.65,63.98,63.04,65.22
2016-07-01,46.7,39.49,32.25,62.13,65.22,41.3
2016-10-01,46.6,50.72,49.28,53.64,58.97,13.04
2017-01-01,44.6,33.33,13.77,38.8,60.6,100.0
2017-04-01,51.42,63.04,55.43,33.33,63.59,34.78
2017-07-01,47.89,48.19,39.49,39.41,61.14,56.52
2017-10-01,47.29,57.97,57.97,38.32,60.05,10.87
2018-01-01,40.54,36.96,21.38,43.37,55.71,54.35
2018-04-01,46.16,52.17,37.32,32.87,60.87,48.91
2018-07-01,41.63,45.29,32.25,27.25,55.43,52.17
2018-10-01,40.89,46.74,39.49,26.19,55.71,35.87
2019-01-01,34.24,19.2,21.74,33.2,42.66,73.91
2019-04-01,44.88,25.36,72.1,36.82,47.83,55.43
2019-07-01,62.93,67.75,68.48,42.45,65.49,70.65
2019-10-01,56.72,61.23,74.28,54.69,54.35,29.35
2020-01-01,48.39,35.51,40.58,47.44,52.72,81.52
2020-04-01,36.83,20.29,52.9,63.91,45.92,3.26
2020-07-01,49.35,15.94,78.62,57.79,39.13,76.09
2020-10-01,51.99,48.55,81.16,69.9,43.75,4.35
2021-01-01,37.75,13.41,26.09,70.6,37.23,58.7
2021-04-01,55.52,43.48,76.45,73.34,38.86,44.57
2021-07-01,42.88,31.52,37.32,68.68,33.7,47.83
2021-10-01,41.91,42.39,59.06,54.27,36.96,6.52
2022-01-01,33.24,17.75,10.87,48.83,38.04,68.48
2022-04-01,42.9,43.84,46.01,35.7,36.14,53.26
2022-07-01,34.4,36.59,34.06,23.54,36.96,42.39
2022-10-01,37.07,44.2,61.59,26.67,39.95,1.09
2023-01-01,30.05,27.54,8.7,28.71,35.6,59.78
2023-04-01,41.68,40.22,70.65,30.94,33.7,28.26
2023-07-01,44.22,53.26,55.43,35.04,33.97,33.7
2023-10-01,45.44,48.91,84.78,34.99,33.42,11.96
2024-01-01,23.55,29.71,10.51,33.75,33.15,5.43
2024-04-01,40.86,52.54,46.01,25.86,33.42,38.04
