Anio,Deuda_Externa_Total_USD,Deuda_Externa_Total_MUSD
1970,7097271963.6,7097.2719636
1971,7627450073.8,7627.450073800001
1972,8351504526.6,8351.5045266
1973,10667132065.7,10667.132065700001
1974,14080544375.1,14080.5443751
1975,18381411868.8,18381.411868799998
1976,24139106860.2,24139.1068602
1977,31382393509.7,31382.3935097
1978,35905344399.6,35905.3443996
1979,42974454788.9,42974.4547889
1980,57574370375.6,57574.370375599996
1981,78412639827.2,78412.6398272
1982,86274650447.2,86274.6504472
1983,93158274474.3,93158.27447430001
1984,95016521283.5,95016.5212835
1985,97063210490.8,97063.2104908
1986,101083076236.3,101083.0762363
1987,109652607038.7,109652.60703869999
1988,99399530018.3,99399.5300183
1989,94016224827.1,94016.2248271
1990,104604453446.9,104604.45344689999
1991,114219780588.7,114219.7805887
1992,112454855209.2,112454.8552092
1993,131852484881.0,131852.484881
1994,139914928842.7,139914.9288427
1995,166734035992.5,166734.0359925
1996,157582830604.4,157582.8306044
1997,148844858127.8,148844.8581278
1998,171132230334.4,171132.2303344
1999,185863562592.2,185863.5625922
2000,178113615414.8,178113.61541479998
2001,202572533842.5,202572.5338425
2002,193461604962.7,193461.60496270002
2003,199260698324.5,199260.6983245
2004,210040194664.4,210040.19466439998
2005,218225512951.4,218225.5129514
2006,221829065156.6,221829.0651566
2007,250650606340.3,250650.6063403
2008,248240107870.4,248240.10787039998
2009,250545865969.3,250545.86596929998
2010,312338399290.8,312338.3992908
2011,351694706992.3,351694.7069923
2012,432987558051.4,432987.5580514
2013,504135518878.2,504135.51887820003
2014,544166999708.7,544166.9997087
2015,538015200055.6,538015.2000556
2016,544792453300.0,544792.4533
2017,578638429804.9,578638.4298049001
2018,602000702060.1,602000.7020600999
2019,617449991504.4,617449.9915044
2020,616686384395.0,616686.384395
2021,601474054897.8,601474.0548978001
2022,585464239733.2,585464.2397331999
2023,595917670218.0,595917.670218
