periodo,year,quarter,inpc_q_eoq,inpc_q_avg,inflacion_yoy_eoq,inflacion_yoy_avg
1971-01-01,1971,1,0.0129,0.0129,5.47,5.26
1971-04-01,1971,2,0.0131,0.013,5.71,5.82
1971-07-01,1971,3,0.0132,0.0131,5.67,5.46
1971-10-01,1971,4,0.0133,0.0133,4.96,5.35
1972-01-01,1972,1,0.0135,0.0134,4.46,4.38
1972-04-01,1972,2,0.0137,0.0136,4.87,4.68
1972-07-01,1972,3,0.0139,0.0138,5.22,5.21
1972-10-01,1972,4,0.014,0.014,5.56,5.48
1973-01-01,1973,1,0.0145,0.0144,7.52,7.1
1973-04-01,1973,2,0.015,0.0149,9.56,9.19
1973-07-01,1973,3,0.016,0.0157,15.16,13.38
1973-10-01,1973,4,0.017,0.0166,21.37,18.39
1974-01-01,1974,1,0.0182,0.018,25.54,25.05
1974-04-01,1974,2,0.0188,0.0186,25.13,25.1
1974-07-01,1974,3,0.0195,0.0192,21.6,22.8
1974-10-01,1974,4,0.0206,0.0203,20.6,22.43
1975-01-01,1975,1,0.0211,0.0209,15.79,16.54
1975-04-01,1975,2,0.0219,0.0216,16.65,15.9
1975-07-01,1975,3,0.0224,0.0222,15.22,15.6
1975-10-01,1975,4,0.0229,0.0227,11.31,12.03
1976-01-01,1976,1,0.024,0.0237,13.89,13.14
1976-04-01,1976,2,0.0244,0.0243,11.56,12.75
1976-07-01,1976,3,0.0257,0.0251,14.69,12.68
1976-10-01,1976,4,0.0291,0.0282,27.2,24.3
1977-01-01,1977,1,0.0312,0.0306,30.17,29.38
1977-04-01,1977,2,0.0324,0.032,32.53,31.74
1977-07-01,1977,3,0.034,0.0334,32.22,33.15
1977-10-01,1977,4,0.0351,0.0347,20.66,22.86
1978-01-01,1978,1,0.0368,0.0364,17.81,18.65
1978-04-01,1978,2,0.0381,0.0376,17.64,17.48
1978-07-01,1978,3,0.0396,0.0391,16.35,17.23
1978-10-01,1978,4,0.0408,0.0404,16.17,16.6
1979-01-01,1979,1,0.0434,0.0428,18.05,17.8
1979-04-01,1979,2,0.0449,0.0444,17.87,17.95
1979-07-01,1979,3,0.0467,0.0461,18.01,17.74
1979-10-01,1979,4,0.049,0.0482,20.02,19.2
1980-01-01,1980,1,0.0536,0.0525,23.45,22.55
1980-04-01,1980,2,0.0565,0.0555,25.97,25.12
1980-07-01,1980,3,0.06,0.0591,28.49,28.36
1980-10-01,1980,4,0.0636,0.0621,29.85,28.95
1981-01-01,1981,1,0.0687,0.0672,28.08,27.96
1981-04-01,1981,2,0.0723,0.0713,27.83,28.37
