periodo,year,quarter,PIB_nom_trimestral,PIB_real_trimestral
2000-01-01,2000,1,6720563.462,17649705.005
2000-04-01,2000,2,6958394.987,17862016.739
2000-07-01,2000,3,7166931.104,18020884.404
2000-10-01,2000,4,7220526.217,17714811.387
2001-01-01,2001,1,7320286.31,17764232.953
2001-04-01,2001,2,7459750.438,17874019.34
2001-07-01,2001,3,7502163.55,17761059.865
2001-10-01,2001,4,7466230.339,17526889.778
2002-01-01,2002,1,7309444.307,17079137.485
2002-04-01,2002,2,7941409.987,18016798.15
2002-07-01,2002,3,7971586.016,17828003.405
2002-10-01,2002,4,8088591.577,17834460.01
2003-01-01,2003,1,8093632.004,17609605.878
2003-04-01,2003,2,8253853.483,18082663.85
2003-07-01,2003,3,8210313.374,17859147.302
2003-10-01,2003,4,8480333.734,18045854.589
2004-01-01,2004,1,8730792.149,18185015.464
2004-04-01,2004,2,9281990.016,18770260.284
2004-07-01,2004,3,9311925.012,18461379.994
2004-10-01,2004,4,9668852.016,18733374.373
2005-01-01,2005,1,9450080.65,18271688.439
2005-04-01,2005,2,10060019.29,19218715.204
2005-07-01,2005,3,10062099.172,18883270.709
2005-10-01,2005,4,10426196.734,19343329.136
2006-01-01,2006,1,10550621.144,19362570.756
2006-04-01,2006,2,11227577.554,20116112.951
2006-07-01,2006,3,11246326.337,19836008.957
2006-10-01,2006,4,11455938.045,20040523.076
2007-01-01,2007,1,11430812.047,19745597.365
2007-04-01,2007,2,12021863.013,20509471.918
2007-07-01,2007,3,12129428.142,20266835.203
2007-10-01,2007,4,12604909.422,20482204.665
2008-01-01,2008,1,12297911.306,19902921.79
2008-04-01,2008,2,13254081.51,20998503.91
2008-07-01,2008,3,13139867.071,20495872.627
2008-10-01,2008,4,13019185.274,20370948.404
2009-01-01,2009,1,12170951.054,18537259.15
2009-04-01,2009,2,12466924.427,18827563.207
2009-07-01,2009,3,12891111.352,19292209.618
2009-10-01,2009,4,13467484.853,19963698.742
2010-01-01,2010,1,13359849.386,19371870.87
2010-04-01,2010,2,13848983.492,20180561.281
2010-07-01,2010,3,14044018.019,20200797.993
2010-10-01,2010,4,14619747.195,20676573.45
2011-01-01,2011,1,14490555.671,20091352.134
2011-04-01,2011,2,14923547.968,20682934.148
2011-07-01,2011,3,15341144.458,20950181.654
2011-10-01,2011,4,16318498.574,21475374.341
2012-01-01,2012,1,16103739.835,21083780.264
2012-04-01,2012,2,16384467.998,21522112.932
2012-07-01,2012,3,16581027.13,21479008.347
2012-10-01,2012,4,17047261.129,22071206.475
2013-01-01,2013,1,16420163.742,21025801.071
2013-04-01,2013,2,16844478.848,21893508.366
2013-07-01,2013,3,16981720.875,21702816.348
2013-10-01,2013,4,17569659.261,22268119.771
2014-01-01,2014,1,17404245.614,21547782.386
2014-04-01,2014,2,18042241.137,22320155.957
2014-07-01,2014,3,18219506.295,22258188.361
2014-10-01,2014,4,18884609.416,22939645.109
2015-01-01,2015,1,18389552.828,22169554.672
2015-04-01,2015,2,19087521.12,22843018.011
2015-07-01,2015,3,19467455.941,23011745.778
2015-10-01,2015,4,19969928.813,23448298.577
2016-01-01,2016,1,19541661.957,22537030.226
2016-04-01,2016,2,20557131.026,23359954.704
2016-07-01,2016,3,20921915.837,23214541.76
2016-10-01,2016,4,22014453.212,23982436.29
2017-01-01,2017,1,21923238.56,23306072.295
2017-04-01,2017,2,22351041.756,23710327.773
2017-07-01,2017,3,22424376.833,23491265.495
2017-10-01,2017,4,23446183.873,24328763.686
2018-01-01,2018,1,23181560.777,23568377.991
2018-04-01,2018,2,24136849.692,24395720.482
2018-07-01,2018,3,24262575.71,24137288.445
2018-10-01,2018,4,25125695.324,24605294.572
2019-01-01,2019,1,24545487.372,23790639.304
2019-04-01,2019,2,25036529.879,24154852.039
2019-07-01,2019,3,25182903.648,24024898.625
2019-10-01,2019,4,25722372.326,24356533.571
2020-01-01,2020,1,25329437.368,23449851.563
2020-04-01,2020,2,20799029.431,19252778.618
2020-07-01,2020,3,24267753.186,22072295.697
2020-10-01,2020,4,25950812.544,23504813.158
2021-01-01,2021,1,25662775.086,22841373.39
2021-04-01,2021,2,26635791.001,23623591.38
2021-07-01,2021,3,26611648.207,23204689.858
2021-10-01,2021,4,27849919.262,23949669.824
2022-01-01,2022,1,27954717.871,23441641.157
2022-04-01,2022,2,29440214.266,24309483.674
2022-07-01,2022,3,29744393.704,24288808.425
2022-10-01,2022,4,30962708.651,25052440.725
2023-01-01,2023,1,30497488.36,24350655.222
2023-04-01,2023,2,31664814.053,25155913.814
2023-07-01,2023,3,32189998.89,25166520.575
2023-10-01,2023,4,33390950.72,25675317.334
2024-01-01,2024,1,32172775.324,24721687.629
2024-04-01,2024,2,33974584.348,25717865.356
2024-07-01,2024,3,34412849.204,25574159.183
2024-10-01,2024,4,35361827.124,25767095.724
2025-01-01,2025,1,34666409.353,24932209.251
2025-04-01,2025,2,35800605.491,25730206.131
