periodo,TasaMXN,TasaUSD
1954-07-01,,1.03
1954-10-01,,0.9867
1955-01-01,,1.3433
1955-04-01,,1.5
1955-07-01,,1.94
1955-10-01,,2.3567
1956-01-01,,2.4833
1956-04-01,,2.6933
1956-07-01,,2.81
1956-10-01,,2.9267
1957-01-01,,2.9333
1957-04-01,,3.0
1957-07-01,,3.2333
1957-10-01,,3.2533
1958-01-01,,1.8633
1958-04-01,,0.94
1958-07-01,,1.3233
1958-10-01,,2.1633
1959-01-01,,2.57
1959-04-01,,3.0833
1959-07-01,,3.5767
1959-10-01,,3.99
1960-01-01,,3.9333
1960-04-01,,3.6967
1960-07-01,,2.9367
1960-10-01,,2.2967
1961-01-01,,2.0033
1961-04-01,,1.7333
1961-07-01,,1.6833
1961-10-01,,2.4
1962-01-01,,2.4567
1962-04-01,,2.6067
1962-07-01,,2.8467
1962-10-01,,2.9233
1963-01-01,,2.9667
1963-04-01,,2.9633
1963-07-01,,3.33
1963-10-01,,3.4533
1964-01-01,,3.4633
1964-04-01,,3.49
1964-07-01,,3.4567
1964-10-01,,3.5767
1965-01-01,,3.9767
1965-04-01,,4.08
1965-07-01,,4.0767
1965-10-01,,4.1667
1966-01-01,,4.56
1966-04-01,,4.9133
1966-07-01,,5.41
1966-10-01,,5.5633
1967-01-01,,4.8233
1967-04-01,,3.99
1967-07-01,,3.8933
1967-10-01,,4.1733
1968-01-01,,4.79
1968-04-01,,5.9833
1968-07-01,,5.9467
1968-10-01,,5.9167
1969-01-01,,6.5667
1969-04-01,,8.3267
1969-07-01,,8.9833
1969-10-01,,8.94
1970-01-01,,8.5733
1970-04-01,,7.8867
1970-07-01,,6.7067
1970-10-01,,5.5667
1971-01-01,,3.8567
1971-04-01,,4.5667
1971-07-01,,5.4767
1971-10-01,,4.75
1972-01-01,,3.5467
1972-04-01,,4.3
1972-07-01,,4.7433
1972-10-01,,5.1467
1973-01-01,,6.5367
1973-04-01,,7.8167
1973-07-01,,10.56
1973-10-01,,9.9967
1974-01-01,,9.3233
1974-04-01,,11.25
1974-07-01,,12.09
1974-10-01,,9.3467
1975-01-01,,6.3033
1975-04-01,,5.42
1975-07-01,,6.16
1975-10-01,,5.4133
1976-01-01,,4.8267
1976-04-01,,5.1967
1976-07-01,,5.2833
1976-10-01,,4.8733
1977-01-01,,4.66
1977-04-01,,5.1567
1977-07-01,,5.82
1977-10-01,,6.5133
1978-01-01,,6.7567
1978-04-01,,7.2833
1978-07-01,,8.1
1978-10-01,,9.5833
1979-01-01,,10.0733
1979-04-01,,10.18
1979-07-01,,10.9467
1979-10-01,,13.5767
1980-01-01,,15.0467
1980-04-01,,12.6867
1980-07-01,,9.8367
1980-10-01,,15.8533
1981-01-01,,16.57
1981-04-01,,17.78
1981-07-01,,17.5767
1981-10-01,,13.5867
1982-01-01,,14.2267
1982-04-01,,14.5133
1982-07-01,,11.0067
1982-10-01,,9.2867
1983-01-01,,8.6533
1983-04-01,,8.8033
1983-07-01,,9.46
1983-10-01,,9.43
1984-01-01,,9.6867
1984-04-01,,10.5567
1984-07-01,,11.39
1984-10-01,,9.2667
1985-01-01,,8.4767
1985-04-01,,7.9233
1985-07-01,,7.9
1985-10-01,,8.1033
1986-01-01,,7.8267
1986-04-01,,6.92
1986-07-01,,6.2067
1986-10-01,,6.2667
1987-01-01,,6.22
1987-04-01,,6.65
1987-07-01,,6.8433
1987-10-01,,6.9167
1988-01-01,,6.6633
1988-04-01,,7.1567
1988-07-01,,7.9833
1988-10-01,,8.47
1989-01-01,,9.4433
1989-04-01,,9.7267
1989-07-01,,9.0833
1989-10-01,,8.6133
1990-01-01,,8.25
1990-04-01,,8.2433
1990-07-01,,8.16
1990-10-01,,7.7433
1991-01-01,,6.4267
1991-04-01,,5.8633
1991-07-01,,5.6433
1991-10-01,,4.8167
1992-01-01,,4.0233
1992-04-01,,3.77
1992-07-01,,3.2567
1992-10-01,,3.0367
1993-01-01,,3.04
1993-04-01,,3.0
1993-07-01,,3.06
1993-10-01,,2.99
1994-01-01,,3.2133
1994-04-01,,3.94
1994-07-01,,4.4867
1994-10-01,,5.1667
1995-01-01,,5.81
1995-04-01,,6.02
1995-07-01,,5.7967
1995-10-01,,5.72
1996-01-01,,5.3633
1996-04-01,,5.2433
1996-07-01,,5.3067
1996-10-01,,5.28
1997-01-01,,5.2767
1997-04-01,,5.5233
1997-07-01,,5.5333
1997-10-01,,5.5067
1998-01-01,,5.52
1998-04-01,,5.5
1998-07-01,,5.5333
1998-10-01,,4.86
1999-01-01,,4.7333
1999-04-01,,4.7467
1999-07-01,,5.0933
1999-10-01,,5.3067
2000-01-01,,5.6767
2000-04-01,,6.2733
2000-07-01,,6.52
2000-10-01,,6.4733
2001-01-01,,5.5933
2001-04-01,,4.3267
2001-07-01,,3.4967
2001-10-01,,2.1333
2002-01-01,,1.7333
2002-04-01,,1.75
2002-07-01,,1.74
2002-10-01,,1.4433
2003-01-01,,1.25
2003-04-01,,1.2467
2003-07-01,,1.0167
2003-10-01,,0.9967
2004-01-01,,1.0033
2004-04-01,,1.01
2004-07-01,,1.4333
2004-10-01,,1.95
2005-01-01,,2.47
2005-04-01,,2.9433
2005-07-01,,3.46
2005-10-01,,3.98
2006-01-01,,4.4567
2006-04-01,,4.9067
2006-07-01,,5.2467
2006-10-01,,5.2467
2007-01-01,,5.2567
2007-04-01,,5.25
2007-07-01,,5.0733
2007-10-01,,4.4967
2008-01-01,7.5,3.1767
2008-04-01,7.5273,2.0867
2008-07-01,8.0731,1.94
2008-10-01,8.25,0.5067
2009-01-01,7.6222,0.1833
2009-04-01,5.6786,0.18
2009-07-01,4.5435,0.1567
2009-10-01,4.5,0.12
2010-01-01,4.5,0.1333
2010-04-01,4.5,0.1933
2010-07-01,4.5,0.1867
2010-10-01,4.5,0.1867
2011-01-01,4.5,0.1567
2011-04-01,4.5,0.0933
2011-07-01,4.5,0.0833
2011-10-01,4.5,0.0733
2012-01-01,4.5,0.1033
2012-04-01,4.5,0.1533
2012-07-01,4.5,0.1433
2012-10-01,4.5,0.16
2013-01-01,4.3667,0.1433
2013-04-01,4.0,0.1167
2013-07-01,3.9321,0.0833
2013-10-01,3.5652,0.0867
2014-01-01,3.5,0.0733
2014-04-01,3.3626,0.0933
2014-07-01,3.0,0.09
2014-10-01,3.0,0.1
2015-01-01,3.0,0.11
2015-04-01,3.0,0.1233
2015-07-01,3.0,0.1367
2015-10-01,3.0408,0.16
2016-01-01,3.4918,0.36
2016-04-01,3.7555,0.3733
2016-07-01,4.2609,0.3967
2016-10-01,5.087,0.45
2017-01-01,6.0389,0.7
2017-04-01,6.6456,0.95
2017-07-01,7.0,1.1533
2017-10-01,7.0489,1.2033
2018-01-01,7.3944,1.4467
2018-04-01,7.5275,1.7367
2018-07-01,7.75,1.9233
2018-10-01,7.9103,2.22
2019-01-01,8.25,2.4033
2019-04-01,8.25,2.3967
2019-07-01,8.1087,2.19
2019-10-01,7.5842,1.6433
2020-01-01,7.0534,1.26
2020-04-01,5.8132,0.06
2020-07-01,4.7253,0.0933
2020-10-01,4.25,0.09
2021-01-01,4.1167,0.08
2021-04-01,4.0167,0.07
2021-07-01,4.3832,0.09
2021-10-01,4.9674,0.08
2022-01-01,5.8111,0.12
2022-04-01,6.8306,0.77
2022-07-01,8.1621,2.19
2022-10-01,9.7527,3.6533
2023-01-01,10.7806,4.5167
2023-04-01,11.25,4.99
2023-07-01,11.25,5.26
2023-10-01,11.25,5.33
2024-01-01,11.2225,5.33
2024-04-01,11.0,5.33
2024-07-01,10.8462,5.2633
2024-10-01,10.3379,4.65
2025-01-01,9.6833,4.33
2025-04-01,8.7253,4.33
2025-07-01,7.8397,4.2933
2025-10-01,7.5,
