periodo,tcn_mean,tcn_eop
1991-10-01,3.0694,3.0703
1992-01-01,3.066,3.0667
1992-04-01,3.0958,3.1188
1992-07-01,3.0979,3.0878
1992-10-01,3.119,3.1186
1993-01-01,3.1053,3.1082
1993-04-01,3.1136,3.1212
1993-07-01,3.1163,3.113
1993-10-01,3.1256,3.1078
1994-01-01,3.1717,3.291
1994-04-01,3.3426,3.3634
1994-07-01,3.3945,3.4006
1994-10-01,3.6221,4.0058
1995-01-01,5.9941,6.7339
1995-04-01,6.1512,6.2232
1995-07-01,6.2128,6.308
1995-10-01,7.3571,7.6706
1996-01-01,7.5258,7.5733
1996-04-01,7.4841,7.5523
1996-07-01,7.5592,7.5456
1996-10-01,7.8312,7.8752
1997-01-01,7.8629,7.9671
1997-04-01,7.9192,7.9486
1997-07-01,7.8145,7.7812
1997-10-01,8.0801,8.1288
1998-01-01,8.4216,8.5679
1998-04-01,8.6599,8.9055
1998-07-01,9.4772,10.2196
1998-10-01,10.0139,9.9104
1999-01-01,9.959,9.75
1999-04-01,9.4486,9.5251
1999-07-01,9.3675,9.3376
1999-10-01,9.4612,9.4219
2000-01-01,9.4035,9.2913
2000-04-01,9.5699,9.8153
2000-07-01,9.3545,9.3423
2000-10-01,9.4963,9.4551
2001-01-01,9.6959,9.6108
2001-04-01,9.1908,9.0921
2001-07-01,9.23,9.4034
2001-10-01,9.2468,9.1613
2002-01-01,9.1135,9.0771
2002-04-01,9.4677,9.7502
2002-07-01,9.8925,10.0554
2002-10-01,10.1688,10.2103
2003-01-01,10.8181,10.9246
2003-04-01,10.4552,10.5
2003-07-01,10.7104,10.9285
2003-10-01,11.1854,11.2563
2004-01-01,10.9806,11.0044
2004-04-01,11.3866,11.3843
2004-07-01,11.4501,11.486
2004-10-01,11.327,11.2079
2005-01-01,11.1796,11.1386
2005-04-01,10.977,10.8292
2005-07-01,10.7147,10.778
2005-10-01,10.7124,10.6268
2006-01-01,10.5884,10.7269
2006-04-01,11.1688,11.3924
2006-07-01,10.9521,10.981
2006-10-01,10.8906,10.8582
2007-01-01,11.0186,11.1203
2007-04-01,10.8812,10.8326
2007-07-01,10.9608,11.0368
2007-10-01,10.8525,10.8474
2008-01-01,10.8071,10.7355
2008-04-01,10.4319,10.3303
2008-07-01,10.3118,10.6105
2008-10-01,13.0121,13.3983
2009-01-01,14.3797,14.7132
2009-04-01,13.3299,13.3415
2009-07-01,13.2598,13.4126
2009-10-01,13.0731,12.8563
2010-01-01,12.7844,12.5939
2010-04-01,12.556,12.7225
2010-07-01,12.8006,12.8281
2010-10-01,12.392,12.3936
2011-01-01,12.0721,12.0082
2011-04-01,11.7296,11.7994
2011-07-01,12.2842,12.9754
2011-10-01,13.6317,13.7528
2012-01-01,13.0034,12.7557
2012-04-01,13.5419,13.9619
2012-07-01,13.1721,12.9588
2012-10-01,12.9442,12.8684
2013-01-01,12.6593,12.548
2013-04-01,12.4816,12.9484
2013-07-01,12.9177,13.0842
2013-10-01,13.0299,13.0088
2014-01-01,13.234,13.2042
2014-04-01,12.9984,12.9905
2014-07-01,13.1151,13.2182
2014-10-01,13.8488,14.4727
2015-01-01,14.9392,15.2136
2015-04-01,15.318,15.4692
2015-07-01,16.4259,16.8519
2015-10-01,16.7501,17.0365
2016-01-01,18.0652,17.6923
2016-04-01,18.0797,18.6506
2016-07-01,18.7418,19.1678
2016-10-01,19.8228,20.5156
2017-01-01,20.3552,19.3556
2017-04-01,18.5692,18.1612
2017-07-01,17.8221,17.8192
2017-10-01,18.9466,19.1265
2018-01-01,18.7496,18.6604
2018-04-01,19.4055,20.3168
2018-07-01,18.9765,19.0382
2018-10-01,19.8413,20.1477
2019-01-01,19.2093,19.2419
2019-04-01,19.1306,19.2962
2019-07-01,19.4341,19.6033
2019-10-01,19.2679,19.1406
2020-01-01,19.9341,22.2018
2020-04-01,23.3372,22.2575
2020-07-01,22.1109,21.6688
2020-10-01,20.5757,19.9756
2021-01-01,20.3186,20.7781
2021-04-01,20.0115,20.0308
2021-07-01,20.0214,20.0248
2021-10-01,20.751,20.9344
2022-01-01,20.51,20.5796
2022-04-01,20.0499,20.0038
2022-07-01,20.2479,20.0752
2022-10-01,19.6843,19.5894
2023-01-01,18.676,18.3887
2023-04-01,17.7019,17.2688
2023-07-01,17.0589,17.2841
2023-10-01,17.5579,17.2099
2024-01-01,16.9974,16.8213
2024-04-01,17.2459,18.1559
2024-07-01,18.944,19.6321
2024-10-01,20.0875,20.2428
2025-01-01,20.4216,20.2452
2025-04-01,19.5334,19.0563
2025-07-01,18.64,18.5138
