check,valor,nota
filas,143,deuda_externa
columnas,29,deuda_externa
min_periodo,1990-01-01,deuda_externa
max_periodo,2025-07-01,deuda_externa
completitud,100.0,deuda_externa:CICLO
completitud,100.0,deuda_externa:TRIMESTRE
completitud,99.3,deuda_externa:deuda_total_economia_musd
completitud,100.0,deuda_externa:deuda_bruta_publica_musd
completitud,100.0,deuda_externa:activos_fx_publico_musd
completitud,100.0,deuda_externa:posicion_neta_publico_musd
completitud,100.0,deuda_externa:deuda_publica_lp_musd
completitud,100.0,deuda_externa:deuda_publica_cp_musd
completitud,100.0,deuda_externa:deuda_gob_federal_musd
completitud,100.0,deuda_externa:deuda_organismos_empresas_musd
completitud,100.0,deuda_externa:deuda_banca_desarrollo_musd
completitud,83.22,deuda_externa:endeudamiento_neto_total_musd
completitud,83.22,deuda_externa:endeudamiento_neto_lp_musd
completitud,83.22,deuda_externa:endeudamiento_neto_cp_musd
completitud,83.22,deuda_externa:endeudamiento_neto_gf_musd
completitud,83.22,deuda_externa:endeudamiento_neto_oye_musd
completitud,83.22,deuda_externa:endeudamiento_neto_bd_musd
completitud,100.0,deuda_externa:fuente_bancario_musd
completitud,100.0,deuda_externa:fuente_comercio_ext_musd
completitud,100.0,deuda_externa:fuente_capitales_musd
completitud,100.0,deuda_externa:fuente_ofis_musd
completitud,100.0,deuda_externa:fuente_pidiregas_musd
completitud,100.0,deuda_externa:acreedor_eeuu_musd
completitud,100.0,deuda_externa:acreedor_ofis_musd
completitud,100.0,deuda_externa:acreedor_japon_musd
completitud,100.0,deuda_externa:acreedor_otros_musd
completitud,100.0,deuda_externa:moneda_usd_musd
completitud,100.0,deuda_externa:moneda_canasta_musd
