periodo,CICLO,TRIMESTRE,balance_mmxn,ingresos_mmxn,gasto_mmxn,balance_derivado_mmxn,gap_balance_mmxn
1990-01-01,1990,1,-8170.8240000000005,42560.899000000005,49099.137,-6538.237999999998,-1632.586000000003
1990-04-01,1990,2,-1763.9869999999996,42816.451,45663.782,-2847.3309999999983,1083.3439999999987
1990-07-01,1990,3,-1595.7929999999997,45927.963,47555.025,-1627.061999999998,31.268999999998414
1990-10-01,1990,4,-7735.563,56396.28,61897.380000000005,-5501.100000000006,-2234.4629999999943
1991-01-01,1991,1,6205.216,59919.261,51665.573,8253.688000000002,-2048.4720000000016
1991-04-01,1991,2,10637.279999999999,62457.282,51692.657999999996,10764.624000000003,-127.3440000000046
1991-07-01,1991,3,9951.422,64334.59299999999,54889.609,9444.983999999997,506.43800000000374
1991-10-01,1991,4,-1604.621,67671.895,69685.31,-2013.4149999999936,408.7939999999935
1992-01-01,1992,1,19671.631,73490.572,55978.699,17511.873,2159.7580000000016
1992-04-01,1992,2,19998.422,75344.15400000001,54274.99,21069.16400000001,-1070.742000000013
1992-07-01,1992,3,12838.128999999999,75064.22200000001,62845.582,12218.640000000007,619.4889999999923
1992-10-01,1992,4,-6023.589,71579.234,76188.052,-4608.817999999999,-1414.7710000000006
1993-01-01,1993,1,6179.9169999999995,68134.104,62798.505999999994,5335.598000000013,844.3189999999868
1993-04-01,1993,2,6759.138000000001,71863.965,65282.613,6581.351999999999,177.78600000000188
1993-07-01,1993,3,205.21500000000003,72984.598,71870.539,1114.0589999999938,-908.8439999999938
1993-10-01,1993,4,-4901.3859999999995,77629.795,82114.753,-4484.957999999999,-416.4280000000008
1994-01-01,1994,1,6921.055,78957.324,76064.848,2892.475999999995,4028.579000000005
1994-04-01,1994,2,-864.6999999999998,78675.071,74614.582,4060.4890000000014,-4925.189000000001
1994-07-01,1994,3,1193.9550000000004,84278.868,82123.274,2155.5939999999973,-961.6389999999969
1994-10-01,1994,4,-3903.8929999999996,84947.106,93447.976,-8500.869999999995,4596.976999999995
1995-01-01,1995,1,11038.0,88596.842,83845.26000000001,4751.581999999995,6286.418000000005
1995-04-01,1995,2,7599.3,101954.13699999999,96881.331,5072.805999999982,2526.494000000018
1995-07-01,1995,3,8043.5,101591.443,89547.93299999999,12043.51000000001,-4000.0100000000093
1995-10-01,1995,4,-26881.5,126233.062,151275.36,-25042.29799999998,-1839.2020000000193
1996-01-01,1996,1,3511.2,122237.654,120166.606,2071.047999999995,1440.1520000000046
1996-04-01,1996,2,18321.5,135488.432,113186.332,22302.100000000006,-3980.600000000006
1996-07-01,1996,3,10561.599999999999,141556.64,136753.363,4803.277000000002,5758.322999999997
1996-10-01,1996,4,-32111.399999999998,179698.625,212135.307,-32436.682,325.2820000000029
1997-01-01,1997,1,18852.7,170475.691,152362.28399999999,18113.407000000007,739.2929999999942
1997-04-01,1997,2,11759.3,176253.253,164961.27899999998,11291.974000000017,467.32599999998274
1997-07-01,1997,3,-1742.8999999999996,166495.885,165167.974,1327.9110000000219,-3070.8110000000215
1997-10-01,1997,4,-51880.1,221439.848,271707.656,-50267.80800000002,-1612.2919999999795
1998-01-01,1998,1,750.0,186861.411,184337.022,2524.3889999999956,-1774.3889999999956
1998-04-01,1998,2,4041.2999999999993,184123.635,178152.517,5971.118000000017,-1929.8180000000175
1998-07-01,1998,3,-3561.6000000000004,195788.03600000002,200565.761,-4777.724999999977,1216.1249999999764
1998-10-01,1998,4,-49148.299999999996,215174.53100000002,266455.964,-51281.43299999996,2133.1329999999653
1999-01-01,1999,1,6842.676,224234.10700000002,221874.349,2359.7580000000307,4482.91799999997
1999-04-01,1999,2,7510.681999999999,232024.027,220184.74800000002,11839.27899999998,-4328.596999999982
1999-07-01,1999,3,-18262.240999999998,233384.16999999998,250189.74599999998,-16805.576,-1456.6649999999972
1999-10-01,1999,4,-48079.411,265174.206,315418.415,-50244.20899999997,2164.7979999999734
2000-01-01,2000,1,13227.029,290276.955,276756.327,13520.628000000026,-293.5990000000256
2000-04-01,2000,2,8506.832,278994.96499999997,267962.04099999997,11032.923999999999,-2526.0919999999987
2000-07-01,2000,3,-3096.54,299603.345,310264.36,-10661.015000000014,7564.475000000014
2000-10-01,2000,4,-79233.945,309937.876,384283.582,-74345.706,-4888.239000000001
2001-01-01,2001,1,13322.287999999999,319542.045,305611.74,13930.304999999993,-608.0169999999944
2001-04-01,2001,2,-119.82200000000012,311755.68200000003,310794.401,961.2810000000172,-1081.1030000000173
2001-07-01,2001,3,-7929.818000000001,330476.814,340903.458,-10426.643999999971,2496.82599999997
2001-10-01,2001,4,-47468.08700000001,309602.078,354360.186,-44758.10800000001,-2709.9789999999994
2002-01-01,2002,1,-6394.669,313979.096,319004.0505,-5024.954499999993,-1369.7145000000073
2002-04-01,2002,2,30339.664,356865.72,326431.3635,30434.356499999994,-94.69249999999374
2002-07-01,2002,3,-10644.255999999998,346668.019,360812.627,-14144.608000000007,3500.35200000001
2002-10-01,2002,4,-88907.30600000001,369722.652,453703.02019999997,-83980.36819999997,-4926.937800000043
2003-01-01,2003,1,27247.203999999998,404343.679,372758.698,31584.98100000003,-4337.777000000031
2003-04-01,2003,2,35653.023,402389.988,371293.296,31096.69200000004,4556.330999999962
2003-07-01,2003,3,-17572.731,387130.495,404468.877,-17338.381999999983,-234.34900000001653
2003-10-01,2003,4,-87792.85,406422.176,499722.207,-93300.03100000002,5507.181000000011
2004-01-01,2004,1,47211.439,443341.717,394333.261,49008.456000000006,-1797.017000000007
2004-04-01,2004,2,9545.689999999999,435547.145,423245.81299999997,12301.332000000053,-2755.6420000000544
2004-07-01,2004,3,23174.895,429547.091,415449.46200000006,14097.628999999957,9077.266000000043
2004-10-01,2004,4,-99140.438,462878.23,559268.2,-96389.96999999997,-2750.4680000000226
2005-01-01,2005,1,26403.541,464634.46900000004,432255.995,32378.474000000046,-5974.933000000045
2005-04-01,2005,2,14673.542000000001,480368.485,471796.221,8572.263999999966,6101.278000000035
2005-07-01,2005,3,60527.164000000004,474651.36699999997,419261.159,55390.207999999984,5136.95600000002
2005-10-01,2005,4,-111729.51000000001,528161.888,634698.693,-106536.80499999993,-5192.7050000000745
2006-01-01,2006,1,49908.182,564183.173,512735.5904,51447.582599999965,-1539.4005999999645
2006-04-01,2006,2,33156.734,556782.27,521208.34790000005,35573.92209999997,-2417.1880999999703
2006-07-01,2006,3,56102.974,548360.054,500786.5922,47573.46179999999,8529.512200000012
2006-10-01,2006,4,-129234.18800000001,594277.07,720490.7197,-126213.64970000007,-3020.538299999942
2007-01-01,2007,1,102436.349,611414.809,504526.05499999993,106888.75400000007,-4452.405000000072
2007-04-01,2007,2,8927.5049,582702.75,573169.508,9533.24199999997,-605.7370999999694
2007-07-01,2007,3,26841.8061,580460.104,557904.621,22555.483000000007,4286.323099999994
2007-10-01,2007,4,-133395.723,711207.341,846903.331,-135695.99,2300.2669999999925
2008-01-01,2008,1,100814.92585,676180.417,570678.8912,105501.52580000006,-4686.599950000062
2008-04-01,2008,2,-15442.725000000002,686675.4469999999,710187.057,-23511.610000000102,8068.8850000001
2008-07-01,2008,3,54480.616151999995,711096.061,657477.0398,53619.02119999996,861.5949520000358
2008-10-01,2008,4,-147798.375,786974.493,934265.44,-147290.94699999993,-507.42800000007264
2009-01-01,2009,1,-38337.06571,649643.363,696898.1201,-47254.75709999993,8917.691389999927
2009-04-01,2009,2,-56282.732110000004,689360.4110000001,746026.7403,-56666.32929999987,383.59718999986217
2009-07-01,2009,3,-27469.912689999997,672359.823,700678.6046,-28318.781599999988,848.8689099999901
2009-10-01,2009,4,-151396.27362,805821.932,945273.3507000001,-139451.41870000004,-11944.854919999954
2010-01-01,2010,1,11320.762011999997,735850.9820000001,733301.406,2549.5760000001173,8771.18601199988
2010-04-01,2010,2,-113031.747857,673491.532,785956.0179000001,-112464.48590000009,-567.2619569999079
2010-07-01,2010,3,-75084.95671,688280.845,760548.3602,-72267.51520000002,-2817.441509999975
2010-10-01,2010,4,-193724.49176,862819.6740000001,1054142.5894,-191322.91539999982,-2401.576360000181
2011-01-01,2011,1,1262.1005805999994,773757.024,779693.0519000001,-5936.027900000103,7198.128480600102
2011-04-01,2011,2,-126693.347843,749727.477,875421.2971999999,-125693.82019999996,-999.5276430000376
2011-07-01,2011,3,-53556.136933,783390.013,841232.2582,-57842.245200000005,4286.108267000003
2011-10-01,2011,4,-174470.694919,964205.602,1134969.3283000002,-170763.7263000002,-3706.9686189997883
2012-01-01,2012,1,-49547.60223800001,861705.762,920020.1244999999,-58314.36249999993,8766.760261999923
2012-04-01,2012,2,-93073.54542099999,862937.149,949828.0282000001,-86890.87920000008,-6182.666220999905
2012-07-01,2012,3,-33292.69126299999,872171.187,902657.0126,-30485.825599999982,-2806.8656630000114
2012-10-01,2012,4,-227295.58796,917715.433,1147799.7875,-230084.35450000013,2788.766540000128
2013-01-01,2013,1,40172.3422,890614.247,868248.1581,22366.088899999973,17806.253300000026
2013-04-01,2013,2,-115792.7517002,919636.348,1038191.2665,-118554.91850000003,2762.166799800034
2013-07-01,2013,3,-112803.99284699999,881906.2239999999,1001230.6937,-119324.46970000002,6520.476853000029
2013-10-01,2013,4,-185806.82647000003,1108258.798,1270651.7924,-162392.99439999997,-23413.832070000062
2014-01-01,2014,1,-49454.601977000006,964020.824,1023228.9207,-59208.096699999995,9753.494722999989
2014-04-01,2014,2,-183690.55271000002,947938.94,1144538.5001,-196599.56010000012,12909.0073900001
2014-07-01,2014,3,-172694.5292,942586.131,1105275.7395,-162689.60849999986,-10004.920700000133
2014-10-01,2014,4,-137236.74491,1128510.212,1255002.0795,-126491.86749999993,-10744.877410000074
2015-01-01,2015,1,-96459.21762000001,1086682.6839,1182967.155,-96284.47109999997,-174.74652000004426
2015-04-01,2015,2,-254905.65341000003,959587.0173,1225194.4202,-265607.4029000001,10701.749490000075
2015-07-01,2015,3,-87491.12459,987236.839,1095022.6116,-107785.77259999991,20294.648009999903
2015-10-01,2015,4,-198831.1093,1233482.9914000002,1389691.7061,-156208.7146999999,-42622.394600000116
2016-01-01,2016,1,-61562.695437,1058812.5267,1110283.8153,-51471.288599999854,-10091.406837000148
2016-04-01,2016,2,-55030.81950000001,1280121.3877,1354752.6709,-74631.28319999995,19600.463699999935
2016-07-01,2016,3,-134676.86784,1162279.233,1299103.3483,-136824.11529999995,2147.247459999955
2016-10-01,2016,4,-252537.99959999998,1344317.1824,1583614.7231,-239297.5407,-13240.458899999969
2017-01-01,2017,1,309068.755171,1477812.0166000002,1189844.2922,287967.7244000002,21101.030770999845
2017-04-01,2017,2,-167216.13812,1177441.6897,1344712.7037,-167271.01399999997,54.87587999997777
2017-07-01,2017,3,-78637.24699,1116187.7831000001,1195527.3103,-79339.5271999999,702.2802099998953
2017-10-01,2017,4,-301687.73347,1176166.8513,1452554.094,-276387.24270000006,-25300.490769999917
2018-01-01,2018,1,-91937.32892,1259408.1251,1376777.8847,-117369.75959999999,25432.43067999999
2018-04-01,2018,2,-114794.01925,1242581.0702,1412384.2409,-169803.17070000013,55009.151450000136
2018-07-01,2018,3,-104287.520074,1289510.3345,1321464.1828,-31953.848299999954,-72333.67177400005
2018-10-01,2018,4,-183963.01895,1323611.5598,1478725.0121,-155113.4523,-28849.566649999993
2019-01-01,2019,1,-24482.839893999997,1295375.1488,1349091.0902,-53715.941399999894,29233.101505999897
2019-04-01,2019,2,-95438.697595,1327123.8475000001,1426867.9507,-99744.10319999978,4305.405604999774
