periodo,CICLO,TRIMESTRE,deuda_total_economia_musd,deuda_bruta_publica_musd,activos_fx_publico_musd,posicion_neta_publico_musd,deuda_publica_lp_musd,deuda_publica_cp_musd,deuda_gob_federal_musd,deuda_organismos_empresas_musd,deuda_banca_desarrollo_musd,endeudamiento_neto_total_musd,endeudamiento_neto_lp_musd,endeudamiento_neto_cp_musd,endeudamiento_neto_gf_musd,endeudamiento_neto_oye_musd,endeudamiento_neto_bd_musd,fuente_bancario_musd,fuente_comercio_ext_musd,fuente_capitales_musd,fuente_ofis_musd,fuente_pidiregas_musd,acreedor_eeuu_musd,acreedor_ofis_musd,acreedor_japon_musd,acreedor_otros_musd,moneda_usd_musd,moneda_canasta_musd
1990-01-01,1990,1,94188.7,73527.3,0.0,73527.0,72792.1,735.2,42209.8,0.0,0.0,,,,,,,42951.9,28170.8,10230.4,38046.0,0.0,19096.3,8949.9,12978.6,10986.0,45534.3,8949.9
1990-04-01,1990,2,97005.0,74478.8,0.0,74479.0,73616.8,862.0,42768.4,0.0,0.0,,,,,,,43463.5,31108.7,10321.4,40175.7,0.0,17104.1,7810.9,14766.8,9607.4,46855.2,7810.9
1990-07-01,1990,3,102141.9,77457.7,6371.4,71086.0,76336.1,1121.6,60751.8,7924.9,8781.0,,,,,,,16824.6,35036.5,11331.4,40989.0,0.0,18026.6,14024.3,13410.4,8137.2,44949.5,14024.3
1990-10-01,1990,4,106073.6,77770.3,5524.0,72246.3,76614.3,1156.0,60283.6,8141.2,9345.5,,,,,,,16990.2,36853.1,11368.1,43691.3,0.0,20116.3,12756.6,13633.3,8110.6,51774.3,12756.6
1991-01-01,1991,1,104372.2,76669.2,7987.0,68683.0,75622.6,1046.6,59767.8,7999.1,8902.3,,,,,,,16661.4,37248.5,12021.2,43373.4,0.0,17901.7,14246.8,13682.9,7577.4,49311.2,14246.8
1991-04-01,1991,2,107823.4,76433.5,9016.0,67418.0,74886.3,1547.2,63534.8,7188.1,5710.6,,,,,,,17322.5,36573.1,12995.0,41595.4,0.0,18040.9,13724.2,13608.8,7923.1,49398.1,13724.2
1991-07-01,1991,3,109270.9,77802.9,10760.0,67043.0,75824.4,1978.5,64610.3,7567.1,5625.5,,,,,,,15692.4,39967.9,14322.7,41724.7,0.0,18683.2,13984.9,13155.5,8173.9,49567.7,13984.9
1991-10-01,1991,4,115601.8,79987.8,13549.8,66438.0,78260.5,1727.3,65818.1,7884.9,6284.8,,,,,,,15314.9,41689.3,16215.9,43667.3,0.0,19013.7,15187.2,13468.3,8127.8,48857.2,15187.2
1992-01-01,1992,1,116797.8,80751.8,13529.0,67223.0,78268.9,2482.9,65916.2,8203.2,6632.4,,,,,,,21442.3,39823.4,17487.0,45465.8,0.0,20610.2,14873.6,13250.0,8186.3,51463.1,14873.6
1992-04-01,1992,2,111199.1,76087.1,9147.0,66940.0,73131.0,2956.4,60759.0,8446.6,6881.4,,,,,,,19945.3,41891.2,17434.4,44866.8,0.0,19952.4,15189.3,12869.2,6592.1,45000.1,15189.3
