periodo,CICLO,TRIMESTRE,rfsp_total_miles_mxn,rfsp_sin_ingresos_rec_miles,balance_tradicional_miles,ingresos_totales_miles,gasto_totales_miles,incurrimiento_neto_pasivos_miles,adq_neta_activos_fin_miles
2001-01-01,2001,1,-28924235.0,-37176880.0,,,,,
2001-04-01,2001,2,-20517217.0,-20517255.0,,,,,
2001-07-01,2001,3,-54537511.0,-76810928.0,,,,,
2001-10-01,2001,4,-80376525.0,-90733121.0,,,,,
2002-01-01,2002,1,-38165994.0,-48286965.0,,,,,
2002-04-01,2002,2,13236190.0,-4889960.0,,,,,
2002-07-01,2002,3,-42550729.0,-42550729.0,,,,,
2002-10-01,2002,4,-109889607.0,-125341972.0,,,,,
2003-01-01,2003,1,-580977.0,-17917277.0,,,,,
2003-04-01,2003,2,11925413.0,-3995387.0,,,,,
2003-07-01,2003,3,-39783207.0,-42892754.0,,,,,
2003-10-01,2003,4,-108813298.0,-119210418.0,,,,,
2004-01-01,2004,1,35471850.0,19951550.0,,,,,
2004-04-01,2004,2,57728950.0,-21615950.0,,,,,
2004-07-01,2004,3,-3495540.0,-4499040.0,,,,,
2004-10-01,2004,4,-134693508.0,-153878608.0,,,,,
2005-01-01,2005,1,-1692299.0,-3675299.0,,,,,
2005-04-01,2005,2,-14520541.0,-17102591.0,,,,,
2005-07-01,2005,3,36010873.0,26906805.0,,,,,
2005-10-01,2005,4,-141075454.0,-147592865.0,,,,,
2006-01-01,2006,1,9393176.0,-5559524.0,,,,,
2006-04-01,2006,2,21677090.0,20744790.0,,,,,
2006-07-01,2006,3,29729212.0,22093612.0,,,,,
2006-10-01,2006,4,-186794420.0,-194941820.0,,,,,
2007-01-01,2007,1,68441147.0,46496947.0,,,,,
2007-04-01,2007,2,-12556773.0,-15026473.0,,,,,
2007-07-01,2007,3,-510973.0,-5583173.0,,,,,
2007-10-01,2007,4,-171082785.0,-214237484.0,,,,,
2008-01-01,2008,1,65336644.0,58964744.0,100814926.0,1063043824.0,997411091.0,115575785.0,180941313.0
2008-04-01,2008,2,-44948978.0,-52273048.0,-15442725.0,1057544208.0,1100410227.0,163037966.0,113745653.0
2008-07-01,2008,3,11482846.0,8578716.0,54480616.0,1137224536.0,1088757114.0,-63937617.0,-17022579.0
2008-10-01,2008,4,-228866448.0,-299998589.0,-147798375.0,1115620564.0,1286776207.0,102789807.0,-59581817.0
2009-01-01,2009,1,-58878882.0,-86489162.0,-38337066.0,853279380.0,941113177.0,91457720.0,-3413888.0
2009-04-01,2009,2,-62725260.0,-158939801.0,-56282732.0,909121620.0,970055175.0,173206766.0,110399444.0
2009-07-01,2009,3,-33961744.0,-96385985.0,-27469912.0,905020768.0,1007289416.0,218273539.0,132322059.0
2009-10-01,2009,4,-157884907.0,-292836676.0,-151396273.0,950080777.0,1200740004.0,83333576.0,-188973470.0
2010-01-01,2010,1,-14478221.0,-31349235.0,11320762.0,1031750956.0,1067852691.0,132557336.0,96209477.0
2010-04-01,2010,2,-121716913.0,-123335678.0,-113031748.0,969281257.0,1085673951.0,222027508.0,110558660.0
2010-07-01,2010,3,-97677553.0,-108590766.0,-75084956.0,982355967.0,1063143203.0,110234992.0,40304956.0
2010-10-01,2010,4,-217808599.0,-280452056.0,-193724492.0,1109364036.0,1396014603.0,58393134.0,-242334687.0
2011-01-01,2011,1,-10335422.0,-29466187.0,1262101.0,1103651455.0,1120426866.0,109166665.0,99753991.0
2011-04-01,2011,2,-124207488.0,-126259822.0,-126693348.0,1151892619.0,1269024718.0,105668851.0,-21935588.0
2011-07-01,2011,3,-73914329.0,-76151643.0,-53556137.0,1179741713.0,1261594891.0,185285083.0,102198981.0
2011-10-01,2011,4,-180529680.0,-261615343.0,-174470695.0,1299363163.0,1572822676.0,15204217.0,-253571150.0
2012-01-01,2012,1,-71145661.0,-75676931.0,-49547602.0,1282183390.0,1342201956.0,244976144.0,165811726.0
2012-04-01,2012,2,-105440919.0,-139804219.0,-93073546.0,1271280983.0,1400003085.0,28687313.0,-122888538.0
2012-07-01,2012,3,-67252364.0,-87840951.0,-33292692.0,1216151713.0,1310642758.0,246993809.0,173870534.0
2012-10-01,2012,4,-258286700.0,-292856632.0,-227295587.0,1294841563.0,1601031483.0,31947160.0,-264275091.0
2013-01-01,2013,1,8238833.0,-14498867.0,40172343.0,1253131579.0,1259471797.0,208877123.0,199111290.0
