Categoria,Subcategoria,Campo,Valor,Descripcion
Informacion_General,,titulo,Requerimientos Financieros del Sector Público - México (RFSP) - Trimestral,
Informacion_General,,identificador,mexico_RFSP_Trimestral_SHCP_Limpio,
Informacion_General,,fuente,Secretaría de Hacienda y Crédito Público (SHCP),
Informacion_General,,pais,México,
Informacion_General,,cobertura_sectorial,"Sector Público Federal (Gobierno Central, Seguridad Social, Empresas Públicas Financieras y no Financieras)",
Informacion_General,,periodo_inicio,2001-01-01,
Informacion_General,,periodo_fin,2025-07-01,
Informacion_General,,total_observaciones,99,
Informacion_General,,frecuencia,Trimestral,
Informacion_General,,total_variables,213,
Informacion_General,,unidad_monetaria,Miles de pesos mexicanos (MXN),
Informacion_General,,tipo_cambio,Pesos corrientes (no ajustados por inflación),
Informacion_General,,tipo_informacion,"Flujos fiscales (ingresos, gastos y financiamiento)",
Informacion_General,,metodologia_agregacion,Combinación de datos trimestrales históricos (2001-2014) con datos mensuales actuales (2008-2025) agregados mediante suma de flujos,
Informacion_General,,fecha_actualizacion,2025-06-30,
Columna_Identificadora,periodo,nombre,Periodo (Fecha),Fecha de inicio del trimestre en formato ISO 8601. Representa el primer día del primer mes de cada trimestre.
Columna_Identificadora,periodo,tipo_dato,string (formato fecha: YYYY-MM-DD),Índice temporal principal para análisis de series de tiempo y visualizaciones cronológicas
Columna_Identificadora,CICLO,nombre,Año,Año al que corresponde el dato registrado
Columna_Identificadora,CICLO,tipo_dato,integer,Filtrado y agrupación por años completos
Columna_Identificadora,TRIMESTRE,nombre,Trimestre del Año,Número del trimestre dentro del año (1-4)
Columna_Identificadora,TRIMESTRE,tipo_dato,integer,Análisis de estacionalidad y comparaciones trimestre a trimestre
Columna_Identificadora,Periodo,nombre,Identificador Secuencial de Trimestre,Identificador secuencial único para cada trimestre desde el inicio de la serie
Columna_Identificadora,Periodo,tipo_dato,string,Ordenamiento secuencial y conteo de trimestres en modelos de series de tiempo
Estructura_Variables,nomenclatura_general,patron,CLAVE_NOMBRE_descriptivo,
Estructura_Variables,nomenclatura_general,descripcion,Cada variable combina la clave oficial de la SHCP con el nombre descriptivo del concepto fiscal,
Estructura_Variables,nomenclatura_general,ejemplo,RF000000SPFCS_Requerimientos_financieros_del_sector_publico_federal,
Estructura_Variables,patrones_claves,RF0,Variables consolidadas de RFSP totales y balance tradicional (16 variables),
Estructura_Variables,patrones_claves,RF1,Variables de ingresos por sector institucional (91 variables),
Estructura_Variables,patrones_claves,RF2,Variables de gastos por sector institucional (78 variables),
Estructura_Variables,patrones_claves,RF3,Variables de financiamiento - incurrimiento de pasivos (24 variables),
Estructura_Variables,patrones_claves,RF4,Variables de activos financieros - adquisición neta (8 variables),
Estructura_Variables,sufijos_sectoriales,SPFCS,Sector Público Federal Consolidado - Sector más amplio (29 variables),
Estructura_Variables,sufijos_sectoriales,SPFC,Sector Público Federal Consolidado (21 variables),
Estructura_Variables,sufijos_sectoriales,SPNFC,Sector Público Federal no Financiero (21 variables),
Estructura_Variables,sufijos_sectoriales,SGCC,Sector Gobierno Central (21 variables),
Estructura_Variables,sufijos_sectoriales,SGCP,Gobierno Central Presupuestario (21 variables),
Estructura_Variables,sufijos_sectoriales,SSS,"Seguridad Social - IMSS, ISSSTE (21 variables)",
Estructura_Variables,sufijos_sectoriales,OGC,Otros del Sector Gobierno Central (21 variables),
Estructura_Variables,sufijos_sectoriales,EPNFC,"Empresas Públicas no Financieras - PEMEX, CFE (21 variables)",
Estructura_Variables,sufijos_sectoriales,EPFC,Empresas Públicas Financieras - Banca de desarrollo (21 variables),
Estructura_Variables,componentes_principales,I,Ingresos totales = I1 (corrientes) + I2 (capital),
Estructura_Variables,componentes_principales,II,Gastos totales = II1 (corrientes) + II2 (capital),
Estructura_Variables,componentes_principales,III,Requerimientos financieros = I - II + V - IV + VI (ajustes),
Estructura_Variables,componentes_principales,IV,Incurrimiento neto de pasivos (financiamiento obtenido),
Estructura_Variables,componentes_principales,V,Adquisición neta de activos financieros,
Variable_Clave,RFSP_Total,nombre_variable,RF000000SPFCS_Requerimientos_financieros_del_sector_publico_federal,Indicador principal del déficit o superávit fiscal del sector público federal consolidado
Variable_Clave,RFSP_Total,interpretacion,"Valor negativo indica déficit (necesidad de financiamiento), positivo indica superávit fiscal",Variable dependiente principal en modelos de sostenibilidad fiscal y pronóstico del déficit
Variable_Clave,Balance_Tradicional,nombre_variable,RF000001SPFCS_Balance_tradicional / RF010_Balance_tradicional,"Balance presupuestario tradicional sin ajustes metodológicos por PIDIREGAS, IPAB, etc."
Variable_Clave,Balance_Tradicional,interpretacion,Medida básica del equilibrio fiscal antes de incorporar ajustes por operaciones cuasi-fiscales,Comparación con RFSP para medir el impacto de ajustes metodológicos en el déficit reportado
Variable_Clave,Resultado_Primario,nombre_variable,RF010000SPFCS_Resultado_primario_de_los_requerimientos_financieros,"RFSP excluyendo el costo financiero de la deuda (intereses, comisiones y gastos)"
