Seccion,Campo,Valor,Descripcion
Informacion_General,titulo,Deuda Externa Acumulada Total de México - Banco Mundial,
Informacion_General,titulo_original,"External debt stocks, total (DOD, current US$)",
Informacion_General,codigo_indicador,DT.DOD.DECT.CD,
Informacion_General,fuente_primaria,Banco Mundial,
Informacion_General,fuente_detallada,"Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo",
Informacion_General,base_datos,World Development Indicators (WDI),
Informacion_General,pais,México,
Informacion_General,codigo_pais,MEX,
Informacion_General,region,América Latina y el Caribe (excluido altos ingresos),
Informacion_General,grupo_ingreso,Ingreso mediano alto,
Informacion_General,periodo_temporal,2000-2023,
Informacion_General,frecuencia,Anual,
Informacion_General,unidad_medida,Dólares estadounidenses (USD) a precios actuales,
Informacion_General,tipo_precios,Precios corrientes (no ajustados por inflación),
Informacion_General,ultima_actualizacion,2025-07-01,
Informacion_General,url_fuente,https://data.worldbank.org/indicator/DT.DOD.DECT.CD?locations=MX,
Definicion_Indicador,nombre_completo,"Deuda externa acumulada, total (DOD, US$ a precios actuales)","La deuda externa total es el monto adeudado a los no residentes, que se reembolsa en divisas, bienes o servicios. La deuda externa total es la suma de la deuda a largo plazo pública, con garantía pública, y privada no garantizada, el uso del crédito del FMI y la deuda a corto plazo. La deuda a corto plazo incluye toda la deuda con un vencimiento original de un año o menos y los atrasos en los intereses de la deuda a largo plazo."
Estructura_Dataset,numero_columnas,2,
Estructura_Dataset,numero_filas,24,
Estructura_Dataset,formato,CSV (Comma-Separated Values),
Estructura_Dataset,encoding,UTF-8,
Estructura_Dataset,separador,",",
Estructura_Dataset,tipo_estructura,Serie temporal anual simple,
Columna,Año,Año,Año calendario al que corresponde el dato de deuda externa reportado. Representa el periodo de referencia de la observación.
Columna,Deuda_Total_USD,Deuda Total en Dólares Estadounidenses,"Monto total de la deuda externa acumulada de México al cierre de cada año, expresado en dólares estadounidenses a precios corrientes. Representa el stock total de obligaciones externas pendientes de pago (tanto del sector público como del sector privado) con acreedores no residentes."
Metodologia,fuente_datos,"El Banco Mundial recopila esta información del Sistema de Notificación de la Deuda (Debtor Reporting System - DRS), complementado con datos de acreedores oficiales y del Fondo Monetario Internacional.",
Metodologia,cobertura_sectorial,"Incluye deuda de todos los sectores: gobierno federal, gobiernos estatales y municipales, banco central, instituciones financieras públicas y privadas, empresas públicas, empresas privadas y otros agentes económicos residentes en México.",
Metodologia,momento_registro,Los saldos de deuda se registran al cierre de cada año calendario (31 de diciembre).,
Metodologia,conversion_monedas,Las obligaciones de deuda denominadas en monedas distintas al dólar estadounidense se convierten utilizando los tipos de cambio de mercado vigentes al cierre del año.,
Metodologia,ajuste_precios,"Los datos están expresados en dólares corrientes (nominales) del año correspondiente, sin ajuste por inflación. Para análisis reales, se recomienda deflactar usando índices de precios apropiados.",
Metodologia,revision_datos,Los datos históricos pueden ser objeto de revisiones cuando se dispone de información más precisa o se realizan cambios metodológicos. El Banco Mundial actualiza periódicamente la serie completa.,
Metodologia,comparabilidad_temporal,"La metodología de medición ha sido relativamente estable en el periodo 2000-2023, lo que permite comparaciones directas entre años. Sin embargo, cambios en la clasificación de instrumentos o en la cobertura de reportantes pueden afectar la comparabilidad estricta.",
Diferencias_Fuentes_Nacionales,cobertura_sectorial,"El indicador del Banco Mundial incluye tanto deuda pública como deuda privada, mientras que muchas estadísticas de la SHCP se enfocan principalmente en el sector público federal. Por lo tanto, los valores del Banco Mundial son significativamente mayores.",
Diferencias_Fuentes_Nacionales,definiciones,"La definición de deuda externa del Banco Mundial sigue los lineamientos del Manual de Estadísticas de la Deuda Externa del FMI, que puede diferir en algunos aspectos técnicos de las definiciones nacionales.",
Diferencias_Fuentes_Nacionales,momento_corte,"Pueden existir diferencias en los momentos de corte de información entre fuentes nacionales e internacionales, afectando ligeramente los saldos reportados.",
